====================
density: 0.2
nodes: 10
Node have file: 2
=====================
ExperimentServent(0xb74b048c): result: 1, tx: 4, rx: 8
ExperimentServent(0xb743d4ac): result: 1, tx: 5, rx: 6
ExperimentServent(0xb743d52c): result: 1, tx: 6, rx: 6
ExperimentServent(0xb74b010c): result: 1, tx: 2, rx: 9
ExperimentServent(0xb74b006c): result: 1, tx: 3, rx: 3
ExperimentServent(0xb74aefcc): result: 1, tx: 2, rx: 2
=====================
ExperimentServent(0xb745d54c): result: 1, tx: 32, rx: 22
ExperimentServent(0xb74d014c): result: 1, tx: 33, rx: 21
ExperimentServent(0xb74cefcc): result: 1, tx: 8, rx: 10
ExperimentServent(0xb74d00ac): result: 1, tx: 7, rx: 12
ExperimentServent(0xb74d04cc): result: 1, tx: 9, rx: 8
ExperimentServent(0xb74d0dcc): result: 1, tx: 7, rx: 10
ExperimentServent(0xb745ae8c): result: 1, tx: 5, rx: 9
ExperimentServent(0xb74d02cc): result: 1, tx: 5, rx: 6
ExperimentServent(0xb745d4cc): result: 1, tx: 7, rx: 8
ExperimentServent(0xb74d012c): result: 1, tx: 2, rx: 9
=====================
ExperimentServent(0xb74c848c): result: 1, tx: 23, rx: 18
ExperimentServent(0xb74c6fac): result: 1, tx: 16, rx: 13
ExperimentServent(0xb74c6fcc): result: 1, tx: 14, rx: 11
ExperimentServent(0xb7452e6c): result: 1, tx: 13, rx: 14
ExperimentServent(0xb74c806c): result: 1, tx: 10, rx: 16
ExperimentServent(0xb74554ac): result: 1, tx: 10, rx: 11
ExperimentServent(0xb74c810c): result: 1, tx: 4, rx: 5
ExperimentServent(0xb74c8dac): result: 1, tx: 3, rx: 5
ExperimentServent(0xb745552c): result: 1, tx: 1, rx: 1
ExperimentServent(0xb74c82ac): result: 1, tx: 0, rx: 0
=====================
ExperimentServent(0xb74c42cc): result: 1, tx: 7, rx: 13
ExperimentServent(0xb74c40ac): result: 1, tx: 13, rx: 8
ExperimentServent(0xb74c4dcc): result: 1, tx: 8, rx: 6
ExperimentServent(0xb74c414c): result: 1, tx: 4, rx: 5
ExperimentServent(0xb745154c): result: 1, tx: 7, rx: 7
ExperimentServent(0xb744ee8c): result: 1, tx: 6, rx: 6
ExperimentServent(0xb74514cc): result: 1, tx: 7, rx: 6
ExperimentServent(0xb74c412c): result: 1, tx: 5, rx: 5
ExperimentServent(0xb74c2fcc): result: 1, tx: 2, rx: 2
ExperimentServent(0xb74c44cc): result: 1, tx: 1, rx: 2
=====================
ExperimentServent(0xb74c6dac): result: 1, tx: 10, rx: 8
ExperimentServent(0xb74c4fcc): result: 1, tx: 7, rx: 7
ExperimentServent(0xb74c610c): result: 1, tx: 4, rx: 6
ExperimentServent(0xb74c606c): result: 1, tx: 10, rx: 7
ExperimentServent(0xb745350c): result: 1, tx: 5, rx: 5
ExperimentServent(0xb7451e4c): result: 1, tx: 8, rx: 5
ExperimentServent(0xb745348c): result: 1, tx: 2, rx: 3
ExperimentServent(0xb74c62ac): result: 1, tx: 1, rx: 4
ExperimentServent(0xb74c648c): result: 1, tx: 1, rx: 3
ExperimentServent(0xb74c4fac): result: 1, tx: 0, rx: 0
=====================
ExperimentServent(0xb744afcc): result: 1, tx: 16, rx: 12
ExperimentServent(0xb744c0ac): result: 1, tx: 8, rx: 16
ExperimentServent(0xb744c4cc): result: 1, tx: 13, rx: 10
ExperimentServent(0xb744c12c): result: 1, tx: 9, rx: 9
ExperimentServent(0xb744cdcc): result: 1, tx: 11, rx: 10
ExperimentServent(0xb73d94cc): result: 1, tx: 11, rx: 10
ExperimentServent(0xb73d954c): result: 1, tx: 8, rx: 9
ExperimentServent(0xb744c14c): result: 1, tx: 6, rx: 7
ExperimentServent(0xb744c2cc): result: 1, tx: 6, rx: 5
ExperimentServent(0xb73d6e8c): result: 1, tx: 1, rx: 1
