====================
density: 0.3
nodes: 20
Node have file: 2
=====================
ExperimentServent(0x901c20): result: 1, tx: 15, rx: 20
ExperimentServent(0x9051a0): result: 1, tx: 27, rx: 22
ExperimentServent(0x9051b4): result: 1, tx: 12, rx: 14
ExperimentServent(0x901c18): result: 1, tx: 31, rx: 33
ExperimentServent(0x905158): result: 1, tx: 15, rx: 11
ExperimentServent(0x901c06): result: 1, tx: 17, rx: 14
ExperimentServent(0x901c38): result: 1, tx: 41, rx: 37
ExperimentServent(0x901ce8): result: 1, tx: 7, rx: 6
ExperimentServent(0x901c58): result: 1, tx: 13, rx: 19
ExperimentServent(0x905160): result: 1, tx: 14, rx: 13
ExperimentServent(0x901c1e): result: 1, tx: 14, rx: 8
ExperimentServent(0x905170): result: 1, tx: 21, rx: 15
ExperimentServent(0x905182): result: 1, tx: 26, rx: 18
ExperimentServent(0x90518c): result: 1, tx: 24, rx: 17
ExperimentServent(0x9051aa): result: 1, tx: 7, rx: 9
ExperimentServent(0x905196): result: 1, tx: 7, rx: 25
ExperimentServent(0x904ff4): result: 1, tx: 21, rx: 28
ExperimentServent(0x905178): result: 1, tx: 10, rx: 11
ExperimentServent(0x905168): result: 1, tx: 6, rx: 6
ExperimentServent(0x9051be): result: 1, tx: 3, rx: 5
=====================
ExperimentServent(0xa3e858): result: 1, tx: 15, rx: 14
ExperimentServent(0xa41d70): result: 1, tx: 21, rx: 28
ExperimentServent(0xa41d78): result: 1, tx: 21, rx: 20
ExperimentServent(0xa41d8c): result: 1, tx: 25, rx: 39
ExperimentServent(0xa41d68): result: 1, tx: 12, rx: 15
ExperimentServent(0xa41d60): result: 1, tx: 14, rx: 15
ExperimentServent(0xa41d58): result: 1, tx: 19, rx: 15
ExperimentServent(0xa3e8e8): result: 1, tx: 10, rx: 14
ExperimentServent(0xa41da0): result: 1, tx: 21, rx: 17
ExperimentServent(0xa41d96): result: 1, tx: 29, rx: 23
ExperimentServent(0xa3e81e): result: 1, tx: 14, rx: 14
ExperimentServent(0xa3e818): result: 1, tx: 26, rx: 18
ExperimentServent(0xa41d82): result: 1, tx: 12, rx: 10
ExperimentServent(0xa41bf4): result: 1, tx: 18, rx: 15
