====================
Prob: 0.6
nodes: 40
Node have file: 15
=====================1
ExperimentServent(0xa54342): result: 1, tx: 102, rx: 48
ExperimentServent(0xa54816): result: 1, tx: 53, rx: 29
ExperimentServent(0xa54392): result: 1, tx: 55, rx: 38
ExperimentServent(0xa54360): result: 1, tx: 94, rx: 62
ExperimentServent(0xa5439c): result: 1, tx: 5, rx: 41
ExperimentServent(0xa543f6): result: 1, tx: 27, rx: 27
ExperimentServent(0xa54332): result: 1, tx: 5, rx: 28
ExperimentServent(0xa543ec): result: 1, tx: 82, rx: 33
ExperimentServent(0xa543d8): result: 1, tx: 4, rx: 27
ExperimentServent(0xa54846): result: 1, tx: 5, rx: 37
ExperimentServent(0xa543ce): result: 1, tx: 5, rx: 33
ExperimentServent(0xa54356): result: 1, tx: 52, rx: 32
ExperimentServent(0xa54802): result: 1, tx: 5, rx: 47
ExperimentServent(0xa543a6): result: 1, tx: 4, rx: 44
ExperimentServent(0xa5480c): result: 1, tx: 5, rx: 37
ExperimentServent(0xa5436a): result: 1, tx: 98, rx: 49
ExperimentServent(0xa54826): result: 1, tx: 5, rx: 28
ExperimentServent(0xa54388): result: 1, tx: 98, rx: 131
ExperimentServent(0xa5483e): result: 1, tx: 4, rx: 26
ExperimentServent(0xa5437e): result: 1, tx: 70, rx: 29
ExperimentServent(0xa543e2): result: 1, tx: 83, rx: 199
ExperimentServent(0xa543c4): result: 1, tx: 4, rx: 38
ExperimentServent(0xa5481e): result: 1, tx: 32, rx: 24
ExperimentServent(0xa5482e): result: 1, tx: 56, rx: 40
ExperimentServent(0xa54838): result: 1, tx: 95, rx: 60
ExperimentServent(0xa543ba): result: 1, tx: 57, rx: 89
================================================================7
ExperimentServent(0x94e532): result: 1, tx: 29, rx: 30
ExperimentServent(0x94e5d8): result: 1, tx: 42, rx: 34
ExperimentServent(0x94d520): result: 1, tx: 88, rx: 122
ExperimentServent(0x94e53a): result: 1, tx: 4, rx: 30
ExperimentServent(0x94e56a): result: 1, tx: 79, rx: 45
ExperimentServent(0x94e5a6): result: 1, tx: 5, rx: 41
ExperimentServent(0x94d53c): result: 1, tx: 30, rx: 21
