====================
density: 0.4
nodes: 30
Node have file: 1
=====================
ExperimentServent(0xb7459a6c): result: 1, tx: 27, rx: 148
ExperimentServent(0xb74cafac): result: 1, tx: 93, rx: 123
ExperimentServent(0xb7459e2c): result: 1, tx: 58, rx: 163
ExperimentServent(0xb74cafcc): result: 1, tx: 35, rx: 115
ExperimentServent(0xb7459f8c): result: 1, tx: 161, rx: 160
ExperimentServent(0xb7459bac): result: 1, tx: 118, rx: 109
ExperimentServent(0xb745f1ec): result: 1, tx: 164, rx: 120
ExperimentServent(0xb7459cec): result: 1, tx: 80, rx: 172
ExperimentServent(0xb74597ec): result: 1, tx: 116, rx: 166
ExperimentServent(0xb745f12c): result: 1, tx: 136, rx: 135
ExperimentServent(0xb7459d8c): result: 1, tx: 225, rx: 185
ExperimentServent(0xb7459b0c): result: 1, tx: 348, rx: 266
ExperimentServent(0xb74599cc): result: 1, tx: 362, rx: 268
ExperimentServent(0xb7459ecc): result: 1, tx: 529, rx: 337
ExperimentServent(0xb745f06c): result: 1, tx: 161, rx: 152
=====================
ExperimentServent(0xb74b6fac): result: 1, tx: 289, rx: 156
ExperimentServent(0xb74b848c): result: 1, tx: 39, rx: 173
ExperimentServent(0xb74454ac): result: 1, tx: 28, rx: 142
ExperimentServent(0xb744552c): result: 1, tx: 52, rx: 176
ExperimentServent(0xb74457ec): result: 1, tx: 141, rx: 148
ExperimentServent(0xb74b8dac): result: 1, tx: 284, rx: 194
ExperimentServent(0xb7445c4c): result: 1, tx: 237, rx: 139
ExperimentServent(0xb744562c): result: 1, tx: 49, rx: 119
ExperimentServent(0xb74b806c): result: 1, tx: 83, rx: 115
ExperimentServent(0xb7445b0c): result: 1, tx: 265, rx: 194
ExperimentServent(0xb7445cec): result: 1, tx: 235, rx: 113
ExperimentServent(0xb7445a6c): result: 1, tx: 114, rx: 135
ExperimentServent(0xb744b06c): result: 1, tx: 82, rx: 180
ExperimentServent(0xb74b6fcc): result: 1, tx: 218, rx: 186
ExperimentServent(0xb744588c): result: 1, tx: 112, rx: 233
ExperimentServent(0xb7442e6c): result: 1, tx: 128, rx: 171
ExperimentServent(0xb744574c): result: 1, tx: 277, rx: 153
ExperimentServent(0xb744b1ec): result: 1, tx: 161, rx: 83
ExperimentServent(0xb7445ecc): result: 1, tx: 60, rx: 167
ExperimentServent(0xb7445d8c): result: 1, tx: 217, rx: 187
ExperimentServent(0xb744592c): result: 1, tx: 186, rx: 206
ExperimentServent(0xb7445bac): result: 1, tx: 215, rx: 200
ExperimentServent(0xb74456ac): result: 1, tx: 315, rx: 219
ExperimentServent(0xb7445f8c): result: 1, tx: 151, rx: 163
ExperimentServent(0xb74b82ac): result: 1, tx: 124, rx: 155
ExperimentServent(0xb744b12c): result: 1, tx: 124, rx: 195
ExperimentServent(0xb7445e2c): result: 1, tx: 197, rx: 266
ExperimentServent(0xb74b810c): result: 1, tx: 305, rx: 210
ExperimentServent(0xb74455ac): result: 1, tx: 186, rx: 180
ExperimentServent(0xb74459cc): result: 1, tx: 316, rx: 232
=====================
ExperimentServent(0xb73b592c): result: 1, tx: 281, rx: 190
ExperimentServent(0xb7426fcc): result: 1, tx: 246, rx: 172
ExperimentServent(0xb73b5a6c): result: 1, tx: 175, rx: 148
ExperimentServent(0xb742810c): result: 1, tx: 108, rx: 207
ExperimentServent(0xb742806c): result: 1, tx: 85, rx: 114
ExperimentServent(0xb7426fac): result: 1, tx: 112, rx: 184
ExperimentServent(0xb73b5ecc): result: 1, tx: 38, rx: 145
ExperimentServent(0xb73b5bac): result: 1, tx: 313, rx: 190
ExperimentServent(0xb7428dac): result: 1, tx: 290, rx: 222
ExperimentServent(0xb73b5e2c): result: 1, tx: 69, rx: 153
ExperimentServent(0xb73b55ac): result: 1, tx: 145, rx: 127
ExperimentServent(0xb74282ac): result: 1, tx: 66, rx: 133
ExperimentServent(0xb73b5c4c): result: 1, tx: 264, rx: 209
ExperimentServent(0xb73b5b0c): result: 1, tx: 254, rx: 214
ExperimentServent(0xb73b56ac): result: 1, tx: 256, rx: 165
ExperimentServent(0xb73b57ec): result: 1, tx: 210, rx: 185
ExperimentServent(0xb73b562c): result: 1, tx: 261, rx: 213
ExperimentServent(0xb73b588c): result: 1, tx: 28, rx: 190
ExperimentServent(0xb73b5f8c): result: 1, tx: 85, rx: 92
ExperimentServent(0xb73b5d8c): result: 1, tx: 95, rx: 86
ExperimentServent(0xb73b574c): result: 1, tx: 84, rx: 153
ExperimentServent(0xb73bb06c): result: 1, tx: 42, rx: 106
ExperimentServent(0xb73bb12c): result: 1, tx: 345, rx: 202
ExperimentServent(0xb73b5cec): result: 1, tx: 290, rx: 203
ExperimentServent(0xb73b54ac): result: 1, tx: 327, rx: 297
ExperimentServent(0xb73b552c): result: 1, tx: 109, rx: 114
ExperimentServent(0xb742848c): result: 1, tx: 159, rx: 211
ExperimentServent(0xb73b2e6c): result: 1, tx: 266, rx: 267
ExperimentServent(0xb73b59cc): result: 1, tx: 64, rx: 121
ExperimentServent(0xb73bb1ec): result: 1, tx: 170, rx: 224
=====================
ExperimentServent(0xb74637ec): result: 1, tx: 305, rx: 182
ExperimentServent(0xb74d4fac): result: 1, tx: 122, rx: 179
ExperimentServent(0xb7463c4c): result: 1, tx: 109, rx: 160
ExperimentServent(0xb746362c): result: 1, tx: 51, rx: 136
ExperimentServent(0xb746352c): result: 1, tx: 148, rx: 177
ExperimentServent(0xb7463cec): result: 1, tx: 171, rx: 223
ExperimentServent(0xb7460e6c): result: 1, tx: 190, rx: 186
